Name                                    Lines  Precise  Imprecise  Any  Empty  Unanalyzed
-----------------------------------------------------------------------------------------
billing                                     0        0          0    0      0           0
billing.admin                               1        0          0    0      1           0
billing.apps                                5        2          0    1      2           0
billing.migrations                          0        0          0    0      0           0
billing.models                              1        0          0    0      1           0
billing.tests                               1        0          0    0      1           0
billing.views                               1        0          0    0      1           0
bot                                         0        0          0    0      0           0
bot.admin                                  59       42          0    5     12           0
bot.apps                                    5        2          0    1      2           0
bot.handlers                                8        4          0    0      4           0
bot.migrations                              0        0          0    0      0           0
bot.migrations.0001_initial               125       42          1   49     33           0
bot.migrations.0002_auto_20201108_1003     23        7          1    5     10           0
bot.models                                132       55          1   41     35           0
bot.tests                                   1        0          0    0      1           0
bot.views                                  20        6          0    9      5           0
ecom_chatbot                                0        0          0    0      0           0
ecom_chatbot.asgi                          16        2          0    2     12           0
ecom_chatbot.settings                     127       56          0    0     71           0
ecom_chatbot.urls                          25        1          1    5     18           0
ecom_chatbot.wsgi                          16        2          0    2     12           0
jivosite                                    9        3          0    1      5           0
ok                                          9        3          0    1      5           0
shop                                        0        0          0    0      0           0
shop.admin                                  1        0          0    0      1           0
shop.apps                                   5        2          0    1      2           0
shop.migrations                             0        0          0    0      0           0
shop.migrations.0001_initial              768      691          1   47     29           0
shop.migrations.0002_delete_shop           16        4          1    2      9           0
shop.models                                82       38          0   26     18           0
shop.tests                                  1        0          0    0      1           0
shop.views                                  1        0          0    0      1           0
